"","AGE_CODE","REGION","B_LOCATION_DESCRIPTION","BAND_SIZE_CODE","BANDING_DATE","BANDING_DAY","BANDING_MONTH","BANDING_YEAR","BIRD_STATUS","FLYWAY_CODE","LAT_DECIMAL_DEGREES","LON_DECIMAL_DEGREES","SEX_CODE","STATE_CODE","STATE"
"914",5,2,"3 mi NW from Perdido(Splinter Hill Bog WMA) Baldwin County   (Bandit ID: SHBO)","3","3/12/2018",12,3,2018,3,2,31.025,-87.675,"F",1,"AL"
"915",6,2,"7 mi E from Boykin(7 mi E of Boykin) Dallas County   (Bandit ID: PLSOA)","3","2/3/2020",3,2,2020,3,2,32.08111,-87.16444,"M",1,"AL"
"916",5,2,"7 mi E from Boykin(7 mi E of Boykin) Dallas County   (Bandit ID: PLSOA)","3","2/3/2020",3,2,2020,3,2,32.08111,-87.16444,"F",1,"AL"
"917",6,2,"7 mi E from Boykin(7 mi E of Boykin) Dallas County   (Bandit ID: PLSOA)","3","2/3/2020",3,2,2020,3,2,32.08111,-87.16444,"M",1,"AL"
"918",6,2,"7 mi E from Boykin(7 mi E of Boykin) Dallas County   (Bandit ID: PLSOA)","3","2/4/2020",4,2,2020,3,2,32.08111,-87.16444,"F",1,"AL"
"919",6,2,"7 mi E from Boykin(7 mi E of Boykin) Dallas County   (Bandit ID: PLSOA)","3","2/4/2020",4,2,2020,3,2,32.08111,-87.16444,"F",1,"AL"
"920",5,2,"7 mi E from Boykin(7 mi E of Boykin) Dallas County   (Bandit ID: PLSOA)","3","2/4/2020",4,2,2020,3,2,32.08111,-87.16444,"F",1,"AL"
"921",6,2,"7 mi E from Boykin(7 mi E of Boykin) Dallas County   (Bandit ID: PLSOA)","3","2/4/2020",4,2,2020,3,2,32.08111,-87.16444,"F",1,"AL"
"922",5,2,"7 mi E from Boykin(7 mi E of Boykin) Dallas County   (Bandit ID: PLSOA)","3","2/4/2020",4,2,2020,3,2,32.08111,-87.16444,"M",1,"AL"
"923",6,2,"4.5 mi NW from White Hall(Lowndes WMA) Lowndes County   (Bandit ID: LDWMA)","3","2/6/2020",6,2,2020,3,2,32.3725,-86.76806,"F",1,"AL"
"924",6,2,"7 mi E from Boykin(7 mi E of Boykin) Dallas County   (Bandit ID: PLSOA)","3","2/7/2020",7,2,2020,3,2,32.08111,-87.16444,"F",1,"AL"
"925",6,2,"7 mi E from Boykin(7 mi E of Boykin) Dallas County   (Bandit ID: PLSOA)","3","2/7/2020",7,2,2020,3,2,32.08111,-87.16444,"F",1,"AL"
"926",5,2,"7 mi E from Boykin(7 mi E of Boykin) Dallas County   (Bandit ID: PLSOA)","3","2/7/2020",7,2,2020,3,2,32.08111,-87.16444,"M",1,"AL"
"927",6,2,"7 mi E from Boykin(7 mi E of Boykin) Dallas County   (Bandit ID: PLSOA)","3","2/8/2020",8,2,2020,3,2,32.08111,-87.16444,"M",1,"AL"
"928",6,2,"7 mi E from Boykin(7 mi E of Boykin) Dallas County   (Bandit ID: PLSOA)","3","2/8/2021",8,2,2021,3,2,32.08111,-87.16444,"M",1,"AL"
"929",6,2,"7 mi E from Boykin(7 mi E of Boykin) Dallas County   (Bandit ID: PLSOA)","3","2/8/2021",8,2,2021,3,2,32.08111,-87.16444,"M",1,"AL"
"930",6,2,"7 mi E from Boykin(7 mi E of Boykin) Dallas County   (Bandit ID: PLSOA)","3","2/8/2021",8,2,2021,3,2,32.08111,-87.16444,"F",1,"AL"
"931",5,2,"7 mi E from Boykin(7 mi E of Boykin) Dallas County   (Bandit ID: PLSOA)","3","2/8/2021",8,2,2021,3,2,32.08111,-87.16444,"F",1,"AL"
"932",6,2,"7 mi E from Boykin(7 mi E of Boykin) Dallas County   (Bandit ID: PLSOA)","3","2/8/2021",8,2,2021,3,2,32.08111,-87.16444,"M",1,"AL"
"933",5,2,"7 mi E from Boykin(7 mi E of Boykin) Dallas County   (Bandit ID: PLSOA)","3","2/8/2021",8,2,2021,3,2,32.08111,-87.16444,"M",1,"AL"
"934",6,2,"7 mi E from Boykin(7 mi E of Boykin) Dallas County   (Bandit ID: PLSOA)","3","2/8/2021",8,2,2021,3,2,32.08111,-87.16444,"F",1,"AL"
"935",5,2,"7 mi E from Boykin(7 mi E of Boykin) Dallas County   (Bandit ID: PLSOA)","3","2/8/2021",8,2,2021,3,2,32.08111,-87.16444,"F",1,"AL"
"936",6,2,"7 mi E from Boykin(7 mi E of Boykin) Dallas County   (Bandit ID: PLSOA)","3","2/8/2021",8,2,2021,3,2,32.08111,-87.16444,"M",1,"AL"
"937",6,2,"7 mi E from Boykin(7 mi E of Boykin) Dallas County   (Bandit ID: PLSOA)","3","2/9/2021",9,2,2021,3,2,32.08111,-87.16444,"F",1,"AL"
"938",5,2,"7 mi E from Boykin(7 mi E of Boykin) Dallas County   (Bandit ID: PLSOA)","3","2/9/2021",9,2,2021,3,2,32.08111,-87.16444,"M",1,"AL"
"939",6,2,"7 mi E from Boykin(7 mi E of Boykin) Dallas County   (Bandit ID: PLSOA)","3","2/9/2021",9,2,2021,3,2,32.08111,-87.16444,"M",1,"AL"
"940",5,2,"7 mi E from Boykin(7 mi E of Boykin) Dallas County   (Bandit ID: PLSOA)","3","2/9/2021",9,2,2021,3,2,32.08111,-87.16444,"F",1,"AL"
"941",6,2,"7 mi E from Boykin(7 mi E of Boykin) Dallas County   (Bandit ID: PLSOA)","3","2/10/2021",10,2,2021,3,2,32.08111,-87.16444,"F",1,"AL"
"942",6,2,"7 mi E from Boykin(7 mi E of Boykin) Dallas County   (Bandit ID: PLSOA)","3","2/10/2021",10,2,2021,3,2,32.08111,-87.16444,"F",1,"AL"
"943",6,2,"7 mi E from Boykin(7 mi E of Boykin) Dallas County   (Bandit ID: PLSOA)","3","2/10/2021",10,2,2021,3,2,32.08111,-87.16444,"F",1,"AL"
"944",5,2,"7 mi E from Boykin(7 mi E of Boykin) Dallas County   (Bandit ID: PLSOA)","3","2/10/2021",10,2,2021,3,2,32.08111,-87.16444,"M",1,"AL"
"958",1,7,"Turrell(Wapanocca National Wildlife Refuge) Crittenden County   (Bandit ID: WNWR)","3","3/10/2015",10,3,2015,3,2,35.41667,-90.25,"M",5,"AR"
"959",1,7,"Turrell(Wapanocca National Wildlife Refuge) Crittenden County   (Bandit ID: WNWR)","3","3/11/2015",11,3,2015,3,2,35.41667,-90.25,"F",5,"AR"
"2824",2,68,"Lowville(Lowville Park) Ontario Canada (Bandit ID: 71)","3","9/7/2015",7,9,2015,3,6,43.43417,-79.90444,"F",8,"CO"
"2825",2,68,"St. Williams(4k N of St Williams) Ontario Canada (Bandit ID: 273)","3","8/4/2015",4,8,2015,3,6,42.69861,-80.40972,"F",8,"CO"
"2826",2,68,"Malden Centre(Holiday Beach Conservation Area) Ontario Canada (Bandit ID: HBCA)","3","10/20/2015",20,10,2015,3,6,42.025,-83.04167,"F",8,"CO"
"2827",2,68,"Malden Centre(Holiday Beach Conservation Area) Ontario Canada (Bandit ID: HBCA)","3","10/25/2015",25,10,2015,3,6,42.025,-83.04167,"F",8,"CO"
"2828",2,68,"10 mi W from Lowbanks(Rock Point Provincial Park) Ontario Canada (Bandit ID: 09)","3","8/19/2015",19,8,2015,3,6,42.91667,-79.58333,"F",8,"CO"
"2829",1,68,"Port Rowan(LPBO Tip - 22 km ESE of Port Rowan) Ontario Canada (Bandit ID: 01)","3","9/1/2015",1,9,2015,3,6,42.58333,-80.08333,"M",8,"CO"
"2830",2,68,"Port Rowan(LPBO Tip - 22 km ESE of Port Rowan) Ontario Canada (Bandit ID: 01)","3","9/20/2015",20,9,2015,3,6,42.58333,-80.08333,"U",8,"CO"
"2831",2,68,"Port Rowan(LPBO Tip - 22 km ESE of Port Rowan) Ontario Canada (Bandit ID: 01)","3","9/22/2015",22,9,2015,3,6,42.58333,-80.08333,"M",8,"CO"
"2832",2,68,"Port Rowan(LPBO Tip - 22 km ESE of Port Rowan) Ontario Canada (Bandit ID: 01)","3","9/29/2015",29,9,2015,3,6,42.58333,-80.08333,"U",8,"CO"
"2833",1,68,"Port Rowan(LPBO Tip - 22 km ESE of Port Rowan) Ontario Canada (Bandit ID: 01)","3","9/29/2015",29,9,2015,3,6,42.58333,-80.08333,"U",8,"CO"
"2834",0,68,"Port Rowan(LPBO Tip - 22 km ESE of Port Rowan) Ontario Canada (Bandit ID: 01)","3","10/7/2015",7,10,2015,3,6,42.58333,-80.08333,"F",8,"CO"
"2835",2,68,"Port Rowan(LPBO Tip - 22 km ESE of Port Rowan) Ontario Canada (Bandit ID: 01)","3","10/30/2015",30,10,2015,3,6,42.58333,-80.08333,"F",8,"CO"
"2836",5,68,"12.5 mi ESE from Picton(25k SE of Picton) Ontario Canada (Bandit ID: CW)","3","4/27/2015",27,4,2015,3,6,43.93917,-76.91139,"M",8,"CO"
"2837",5,68,"12.5 mi ESE from Picton(25k SE of Picton) Ontario Canada (Bandit ID: CW)","3","5/1/2015",1,5,2015,3,6,43.93917,-76.91139,"M",8,"CO"
"2838",5,68,"12.5 mi ESE from Picton(25k SE of Picton) Ontario Canada (Bandit ID: CW)","3","5/1/2015",1,5,2015,3,6,43.93917,-76.91139,"F",8,"CO"
"2839",2,68,"Port Rowan(LPBO Old Cut - 6 km SE of Port Rowan) Ontario Canada (Bandit ID: 13)","3","8/16/2015",16,8,2015,3,6,42.58333,-80.41667,"M",8,"CO"
"2840",1,68,"Port Rowan(LPBO Old Cut - 6 km SE of Port Rowan) Ontario Canada (Bandit ID: 13)","3","9/4/2015",4,9,2015,3,6,42.58333,-80.41667,"M",8,"CO"
"2841",2,68,"Port Rowan(LPBO Old Cut - 6 km SE of Port Rowan) Ontario Canada (Bandit ID: 13)","3","10/20/2015",20,10,2015,3,6,42.58333,-80.41667,"F",8,"CO"
"2842",2,68,"Port Rowan(LPBO Old Cut - 6 km SE of Port Rowan) Ontario Canada (Bandit ID: 13)","3","10/26/2015",26,10,2015,3,6,42.58333,-80.41667,"U",8,"CO"
