"","X","�..GLOBAL.UNIQUE.IDENTIFIER","LAST.EDITED.DATE","TAXONOMIC.ORDER","CATEGORY","COMMON.NAME","SCIENTIFIC.NAME","SUBSPECIES.COMMON.NAME","SUBSPECIES.SCIENTIFIC.NAME","OBSERVATION.COUNT","BREEDING.BIRD.ATLAS.CODE","BREEDING.BIRD.ATLAS.CATEGORY","AGE.SEX","COUNTRY","COUNTRY.CODE","STATE","STATE.CODE","COUNTY","COUNTY.CODE","IBA.CODE","BCR.CODE","USFWS.CODE","ATLAS.BLOCK","LOCALITY","LOCALITY.ID","LOCALITY.TYPE","LATITUDE","LONGITUDE","MONTH","DAY","YEAR","TIME.OBSERVATIONS.STARTED","OBSERVER.ID","SAMPLING.EVENT.IDENTIFIER","PROTOCOL.TYPE","PROTOCOL.CODE","PROJECT.CODE","DURATION.MINUTES","EFFORT.DISTANCE.KM","EFFORT.AREA.HA","NUMBER.OBSERVERS","ALL.SPECIES.REPORTED","GROUP.IDENTIFIER","HAS.MEDIA","APPROVED","REVIEWED","REASON","TRIP.COMMENTS","SPECIES.COMMENTS"
"1",226579,"URN:CornellLabOfOrnithology:EBIRD:OBS489044758","4/22/2017 22:44",5920,"species","American Woodcock","Scolopax minor",NA,NA,"3","","","","United States","US","Wisconsin","US-WI","Brown","US-WI-009","",23,"","","Bob Meads US-WI-Green Bay-3283 West Point Rd - 44.5166x-88.1361","L5735690","P",44.516572,-88.136079,4,22,2017,"20:29:00","obsr409323","S36188050","Stationary","P21","EBIRD",60,NA,NA,10,1,"",0,1,0,NA,"",""
"2",227192,"URN:CornellLabOfOrnithology:EBIRD:OBS508121866","6/4/2017 17:34",5920,"species","American Woodcock","Scolopax minor",NA,NA,"3","C ","C3","","United States","US","Wisconsin","US-WI","Douglas","US-WI-031","",12,"","4609136CE","Townline Rd, Metzger Lake CE","L5932746","P",46.3309579,-91.6391301,6,3,2017,"21:23:00","obsr823732","S37385846","Traveling","P22","EBIRD_ATL_WI",20,3.219,NA,14,1,"G2467927",0,1,0,NA,"",""
"3",71124,"URN:CornellLabOfOrnithology:EBIRD:OBS882877149","3/23/2020 20:48",5920,"species","American Woodcock","Scolopax minor",NA,NA,"2","","","","United States","US","Michigan","US-MI","Midland","US-MI-111","US-MI_3775",12,"","","376 S. 7 Mile Rd. Midland, MI 48640","L1952961","P",43.599577,-84.3918121,3,23,2020,"19:53:00","obsr247170","S66149401","Area","P23","EBIRD",35,NA,2.8328,1,1,"",0,1,0,NA,"",""
"4",66446,"URN:CornellLabOfOrnithology:EBIRD:OBS405813055","8/5/2018 14:55",5920,"species","American Woodcock","Scolopax minor",NA,NA,"1","","","","United States","US","Michigan","US-MI","Iosco","US-MI-069","",12,"","","Tuttle Marsh Wildlife Area","L232598","H",44.36827,-83.4477604,5,21,2016,"19:24:00","obsr273509","S29826278","Traveling","P22","EBIRD",139,8.047,NA,2,1,"G1773515",0,1,0,NA,"<br />Submitted from eBird for iOS, version 1.2.1 Build 65",""
"5",223139,"URN:CornellLabOfOrnithology:EBIRD:OBS307012701","8/5/2018 13:43",5920,"species","American Woodcock","Scolopax minor",NA,NA,"2","","","","United States","US","Wisconsin","US-WI","Florence","US-WI-037","",12,"","","Bear Bottoms","L269211","P",45.7272044,-88.0972179,4,2,2015,"6:00:00","obsr59297","S22648667","Area","P23","EBIRD_WI",20,NA,20.2343,2,1,"G1202334",0,1,0,NA,"50F SW 1 Sky 2  to BL",""
"6",229883,"URN:CornellLabOfOrnithology:EBIRD:OBS744359788","4/24/2019 16:44",5920,"species","American Woodcock","Scolopax minor",NA,NA,"3","C ","C3","","United States","US","Wisconsin","US-WI","Bayfield","US-WI-007","",12,"","4609181SE","Mawikwe Rd","L9112265","P",46.8897753,-91.025553,4,24,2019,"5:25:00","obsr112597","S55365067","Traveling","P22","EBIRD_ATL_WI",11,0.322,NA,1,1,"",0,1,0,NA,"Walked road a little as it got light out",""
"7",128937,"URN:CornellLabOfOrnithology:EBIRD:OBS318492999","6/5/2018 9:27",5920,"species","American Woodcock","Scolopax minor",NA,NA,"1","","","","United States","US","Ohio","US-OH","Lucas","US-OH-095","US-OH_2044",22,"","","Magee Marsh--Boardwalk","L275986","H",41.6277095,-83.191884,5,7,2015,"17:46:00","obsr92825","S23377865","Traveling","P22","EBIRD",65,1.207,NA,3,1,"G1258120",0,1,0,NA,"With Ben & Kent <br />Submitted from BirdLog NA for iOS, version 1.8",""
"8",137186,"URN:CornellLabOfOrnithology:EBIRD:OBS630493842","6/19/2018 13:05",5920,"species","American Woodcock","Scolopax minor",NA,NA,"1","","","","United States","US","Ohio","US-OH","Lucas","US-OH-095","US-OH_2044",22,"","","Magee Marsh--Boardwalk","L275986","H",41.6277095,-83.191884,5,13,2018,"10:00:00","obsr376963","S46502549","Traveling","P22","EBIRD",540,3.219,NA,4,1,"",0,1,0,NA,"",""
"9",105836,"URN:CornellLabOfOrnithology:EBIRD:OBS384934513","4/11/2016 23:12",5920,"species","American Woodcock","Scolopax minor",NA,NA,"4","","","","United States","US","New York","US-NY","Tompkins","US-NY-109","",13,"","","DIL Woods Airport","L99395","H",42.4952985,-76.4518915,3,21,2016,"22:20:00","obsr336222","S28484872","Stationary","P21","EBIRD",25,NA,NA,2,1,"G1658035",0,1,0,NA,"",""
"10",137267,"URN:CornellLabOfOrnithology:EBIRD:OBS618284823","8/6/2018 23:40",5920,"species","American Woodcock","Scolopax minor",NA,NA,"1","","","","United States","US","Ohio","US-OH","Lucas","US-OH-095","US-OH_2044",22,"","","Magee Marsh--Boardwalk","L275986","H",41.6277095,-83.191884,5,14,2018,"10:29:00","obsr44685","S45700132","Traveling","P22","EBIRD",78,0.402,NA,4,1,"G3196987",0,1,0,NA,"",""
