institutionCode,collectionCode,datasetName,basisOfRecord,individualCount,occurrenceStatus,occurrenceRemarks,year,month,day,countryCode,stateProvince,county,locality,,,,,,,,identificationID,issue,mediaType,species,country
,Bird sounds,Xeno-canto - Bird sounds from around the world,HUMAN_OBSERVATION,,PRESENT,,2020,3,2,US,New Jersey,,Ernest Oros Nature Preserve, Avenel,,,,,,,,,Sound;StillImage,Scolopax minor,USA
,Bird sounds,Xeno-canto - Bird sounds from around the world,HUMAN_OBSERVATION,,PRESENT,,2020,2,8,US,Texas,,Austin, Travis County,,,,,,,,,StillImage;Sound,Scolopax minor,USA
,Bird sounds,Xeno-canto - Bird sounds from around the world,HUMAN_OBSERVATION,,PRESENT,,2020,4,2,CA,Ontario,,Ottawa, Ottawa Division,,,,,,,,,StillImage;Sound,Scolopax minor,CAN
,Bird sounds,Xeno-canto - Bird sounds from around the world,HUMAN_OBSERVATION,,PRESENT,,2020,5,20,US,Pennsylvania,,Pine Township (near Wexford), Allegheny County,,,,,,,,,Sound;StillImage,Scolopax minor,USA
,Bird sounds,Xeno-canto - Bird sounds from around the world,HUMAN_OBSERVATION,,PRESENT,,2020,4,2,CA,Ontario,,Ottawa, Ottawa Division,,,,,,,,,StillImage;Sound,Scolopax minor,CAN
,Bird sounds,Xeno-canto - Bird sounds from around the world,HUMAN_OBSERVATION,,PRESENT,,2020,3,12,US,Virginia,,Scott (near The Plains), Fauquier County,,,,,,,,,StillImage;Sound,Scolopax minor,USA
,Bird sounds,Xeno-canto - Bird sounds from around the world,HUMAN_OBSERVATION,,PRESENT,,2020,4,11,US,Minnesota,,Richardson Nature Center, Hennepin,,,,,,,,,StillImage;Sound,Scolopax minor,USA
,Bird sounds,Xeno-canto - Bird sounds from around the world,HUMAN_OBSERVATION,,PRESENT,,2020,3,24,US,Massachusetts,,Norfolk Airfield - 32M (near Norfolk), Norfolk County,,,,,,,,,Sound;StillImage,Scolopax minor,USA
,Bird sounds,Xeno-canto - Bird sounds from around the world,HUMAN_OBSERVATION,,PRESENT,,2020,3,2,US,New Jersey,,Ernest Oros Nature Preserve, Avenel,,,,,,,,,StillImage;Sound,Scolopax minor,USA
,Bird sounds,Xeno-canto - Bird sounds from around the world,HUMAN_OBSERVATION,,PRESENT,,2020,3,2,US,Iowa,,Tama (near Burlington), Des Moines,,,,,,,,,Sound;StillImage,Scolopax minor,USA
,Bird sounds,Xeno-canto - Bird sounds from around the world,HUMAN_OBSERVATION,,PRESENT,,2020,3,3,US,Iowa,,Tama (near Burlington), Des Moines,,,,,,,,,StillImage;Sound,Scolopax minor,USA
YPM,VZ,"Vertebrate Zoology Division - Ornithology, Yale Peabody Museum",PRESERVED_SPECIMEN,1,PRESENT,"ORN number 152451; body mass=177 g; molt=light body; fat=heavy; female; adult; personal specimen number KZ 2285; gonads=ovary 9 x 4 mm, smooth",2019,11,18,US,Connecticut,New Haven County,Yale University, Peabody Museum,,,,,,,,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84,,Scolopax minor,USA
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2019,4,3,US,Illinois,Cook Co,Evanston,,,,,,,,,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84,,Scolopax minor,USA
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2019,11,6,US,Illinois,Cook Co,Chicago,,,,,,,,,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84,,Scolopax minor,USA
