Year,State,Woodcock Harvest,WH per,Active Hunters,AH per,Hunters Days Afield,HAD per,Harvest per Hunter,HPH per
2015,AL,6100,182,1000,187,5100,183,6.2,260
2016,AL,100,190,1400,194,1400,182,0.1,271
2017,AL,600,90,1800,183,220,149,0.4,204
2018,AL,200,134,200,64,500,81,1.3,148
2019,AL,1000,186,100,133,300,175,15.5,229
2015,AR,7300,189,1200,188,4800,190,6,266
2016,AR,3000,125,4100,110,13400,157,0.7,166
2017,AR,600,194,1500,182,4700,178,0.4,266
2018,AR,10100,183,2500,187,7700,180,4.1,262
2019,AR,68000,181,7000,130,14400,115,1,223
2015,C. Region,145700,19,68600,0,284200,16,NA,NA
2016,C. Region,158000,20,78200,0,300200,21,NA,NA
2017,C. Region,140900,22,74600,0,272400,16,NA,NA
2018,C. Region,130600,25,59500,0,246000,29,NA,NA
2019,C. Region,136000,27,52600,0,216600,22,NA,NA
2015,CT,700,40,800,29,3900,36,0.9,49
2016,CT,900,58,900,29,5100,40,0.9,64
2017,CT,1600,69,600,33,3800,44,3,76
2018,CT,900,59,600,46,2100,45,1.4,75
2019,CT,1200,50,800,41,4700,66,1.6,65
2015,DE,100,103,100,47,300,71,1.3,113
2016,DE,400,66,200,132,800,108,2.7,148
2017,DE,200,151,200,119,700,128,1,192
2018,DE,100,82,100,156,500,140,0.6,176
2019,DE,100,103,50,78,100,96,2.5,129
2015,E. Region,54500,22,27000,0,115500,21,NA,NA
2016,E. Region,44400,19,26600,0,96100,14,NA,NA
2017,E. Region,62700,24,28700,0,115400,18,NA,NA
2018,E. Region,49600,23,28300,0,99200,32,NA,NA
2019,E. Region,35300,25,25400,0,101200,29,NA,NA
2015,FL,0,0,50,193,100,193,0,0
2016,FL,50,194,200,91,400,103,0.3,214
2017,FL,200,151,200,92,1400,132,1,177
2018,FL,200,195,100,195,300,195,3,275
2019,FL,0,0,100,195,800,195,0,0
2015,GA,1700,76,700,69,3400,70,2.3,102
2016,GA,500,92,2000,159,4200,152,0.3,184
2017,GA,1400,104,3600,123,9500,136,0.4,161
2018,GA,4100,121,4400,129,8000,118,0.9,177
2019,GA,1800,169,4800,110,6500,115,0.4,202
2015,IA,300,108,1400,95,2500,90,0.2,144
2016,IA,2900,168,500,163,1800,141,5.8,234
2017,IA,1900,179,1000,116,2400,111,1.8,214
2018,IA,0,0,0,0,0,0,0,0
2019,IA,1600,151,600,105,4500,112,2.7,184
2015,IL,200,114,1000,170,1300,133,0.2,205
2016,IL,1600,173,1500,130,13200,163,1.1,217
2017,IL,400,142,100,75,300,84,3,161
2018,IL,0,0,50,194,100,194,0,0
2019,IL,34000,195,2300,136,11300,160,1.5,237
2015,IN,600,56,400,99,1100,83,1.4,114
2016,IN,900,43,300,105,1300,80,2.8,113
2017,IN,1500,142,1100,70,2900,68,1.4,158
2018,IN,200,136,100,78,200,92,1.8,157
2019,IN,400,56,500,112,1100,85,0.8,126
2015,KS,300,196,1400,97,2800,103,0.3,218
2016,KS,0,0,400,196,400,196,0,0
2017,KS,100,120,50,74,100,80,4,141
2018,KS,100,192,100,0,200,0,1.5,192
2019,KS,0,0,0,0,0,0,0,0
2015,KY,600,57,700,161,2600,136,0.8,171
2016,KY,2400,159,1100,179,1500,128,2.3,239
2017,KY,900,68,100,31,800,40,7.1,75
2018,KY,300,107,199,77,300,99,3.8,132
2019,KY,100,162,100,49,200,59,0.8,169
2015,LA,3500,112,2800,87,12300,123,1.3,142
2016,LA,1800,116,900,155,4600,135,1.9,193
2017,LA,9900,181,3500,81,14500,96,2.8,199
2018,LA,10600,112,5200,84,11100,94,2,140
2019,LA,1500,151,1300,168,6000,181,1.2,226
2015,MA,1800,31,1000,30,6600,43,1.7,43
2016,MA,2600,36,1300,28,7000,34,1.9,45
2017,MA,1900,46,1200,28,5900,29,1.5,54
2018,MA,3500,54,1400,36,8100,45,2.5,65
2019,MA,2200,33,1500,28,7900,32,1.5,43
2015,MD,1100,63,1100,91,2300,83,1,110
2016,MD,500,51,500,144,800,95,0.8,153
2017,MD,400,59,100,31,500,43,2.9,67
2018,MD,1500,171,800,170,900,145,2,241
2019,MD,300,81,200,45,500,53,1.4,93
2015,ME,4700,55,2100,48,9000,50,2.2,73
2016,ME,6700,31,3200,37,10600,27,2.1,48
2017,ME,17300,53,5000,30,22600,28,3.4,61
2018,ME,9700,28,3800,47,17200,37,2.5,55
2019,ME,6200,17,3300,37,15300,34,1.9,41
2015,MI,63200,23,26000,18,124700,21,2.4,29
2016,MI,64900,26,24100,19,107100,21,2.7,32
2017,MI,66100,31,24100,18,122800,24,2.7,36
2018,MI,59600,34,29300,25,135800,46,2,42
2019,MI,64500,46,19100,24,86100,29,3.4,52
2015,MN,25600,42,13500,34,47600,40,1.9,54
2016,MN,25900,36,13500,34,46000,35,1.9,49
2017,MN,26700,37,11900,35,45700,35,2.2,51
2018,MN,22500,34,10400,39,41500,46,2.2,52
2019,MN,20800,42,8700,43,29300,38,2.4,60
2015,MO,400,110,100,42,600,63,3,118
2016,MO,3400,163,2200,105,6200,120,1.5,194
2017,MO,200,64,900,170,1300,115,0.2,182
2018,MO,200,130,100,130,200,161,2,184
2019,MO,300,74,100,44,800,59,2.3,86
2015,MS,3600,147,600,176,2300,140,6.2,229
2016,MS,50,188,600,192,1300,194,0.1,269
2017,MS,400,123,1600,132,2400,135,0.2,180
2018,MS,400,121,100,92,400,117,4.3,152
2019,MS,100,106,100,90,300,93,0.8,139
2015,NC,7100,90,3900,108,10100,81,1.8,140
2016,NC,4300,122,2600,133,5600,97,1.7,181
2017,NC,6700,103,1200,61,5800,88,5.6,120
2018,NC,6000,119,3400,160,13700,160,1.8,199
2019,NC,3400,196,2300,176,14500,169,1.5,263
2015,NE,0,0,0,0,0,0,0,0
2016,NE,600,196,600,196,600,196,1,277
2017,NE,0,0,50,0,100,0,0,0
2018,NE,0,0,0,0,0,0,0,0
2019,NE,0,0,0,0,0,0,0,0
2015,NH,9100,52,2100,32,14800,43,4.3,61
2016,NH,6600,55,2000,33,10300,38,3.3,64
2017,NH,4900,44,2400,31,8600,29,2.1,54
2018,NH,5400,41,2000,34,8500,28,2.7,53
2019,NH,3200,34,1800,41,8000,31,1.8,54
2015,NJ,4700,147,700,59,4300,96,7.2,158
2016,NJ,3800,86,900,52,2900,49,4.4,100
2017,NJ,1700,50,800,51,4700,85,2.1,71
2018,NJ,2900,75,900,69,2900,61,3.2,102
2019,NJ,1400,66,1100,78,2700,63,1.3,102
2015,NY,8600,36,3900,27,18300,3,2.2,45
2016,NY,4800,24,3200,31,13900,31,1.5,40
2017,NY,6100,31,330,31,15100,35,1.8,43
2018,NY,5100,65,3400,60,17200,102,1.5,88
2019,NY,6500,60,2800,42,16900,56,2.3,73
2015,OH,2100,85,1900,80,7500,95,1.1,117
2016,OH,3200,81,2600,68,8200,88,1.3,106
2017,OH,400,90,1900,84,5000,71,0.2,123
2018,OH,600,123,500,49,800,71,1.3,133
2019,OH,700,95,1100,154,2400,84,0.7,181
2015,OK,0,0,1800,137,1800,137,0,0
2016,OK,0,0,0,0,0,0,0,0
2017,OK,0,0,0,0,0,0,0,0
2018,OK,100,193,50,193,600,193,3,272
2019,OK,300,168,100,80,400,101,3.4,186
2015,PA,5400,45,5000,42,17700,43,1.1,61
2016,PA,3900,39,6300,37,18200,34,0.6,54
2017,PA,8200,58,5200,39,20700,34,1.6,70
2018,PA,4000,81,1500,46,6300,73,2.7,93
