month,day,year,time_observed_at,description,place_guess,latitude,longitude,positional_accuracy,place_county_name,place_state_name
11,13,2016,2016-11-13 21:21:00 UTC,,"Blount County, AL, USA",33.99140926,-86.60702705,61,Blount,Alabama
7,1,2017,2017-07-01 21:04:00 UTC,,"Walker County, AL, USA",33.62735029,-87.17682972,413,Walker,Alabama
4,16,2018,2018-04-16 18:07:29 UTC,"Could be Wilson’s snipe, but they are only winter residents in Alabama.","Tuskegee National Forest, Tuskegee, AL, US",32.470845,-85.62850333,16,Macon,Alabama
6,9,2018,2018-06-09 14:00:06 UTC,,"Hazel Green, AL  35750, Hazel Green, AL, US",34.92191333,-86.67167833,8,Madison,Alabama
2,3,2019,2019-02-03 23:55:11 UTC,,"250–520 Red Maple Rd, Blountsville, AL, US",34.05582537,-86.52950323,165,Blount,Alabama
2,24,2019,2019-02-24 23:17:57 UTC,Mother was spooked. Chick was left safe and watched mother return.,"2258 County Road 57, Prattville, AL, US",32.61289744,-86.53989601,2,Autauga,Alabama
11,20,2019,2019-11-20 22:43:01 UTC,,"Halcyon Loop, Daphne, AL, US",30.57771469,-87.82878182,23,Baldwin,Alabama
1,28,2020,2020-01-28 13:55:47 UTC,Found DOR ,"Bullock County, US-AL, US",32.04328772,-85.47363146,25,Bullock,Alabama
3,19,2014,2014-03-19 10:43:56 UTC,,"CR-29, Evergreen, AL, US",31.39185117,-86.94868923,56,Conecuh,Alabama
4,11,2020,2020-04-12 04:22:50 UTC,,"Alabama, US",34.6540713,-85.79469501,1510,De Kalb,Alabama
11,15,2019,2019-11-15 07:50:09 UTC,,Foley,30.40698144,-87.68359736,16829,Baldwin,Alabama
2,9,2018,2018-02-10 00:20:00 UTC,,"795-1499 Greene Rd 616, Paragould, AR 72450, USA",36.16203407,-90.57909492,16,Greene,Arkansas
11,20,2018,2018-11-20 17:37:39 UTC,,"1164 Weatherford Rd, Melbourne, AR, US",35.97138833,-91.845505,10,Izard,Arkansas
3,15,2015,2015-03-15 23:50:00 UTC,,"Yell County, AR, USA",35.1410629,-93.60222658,156,Yell,Arkansas
3,30,2019,2019-03-30 15:39:21 UTC,,"71675, Wilmar, AR, US",33.57441705,-91.971475,256,Drew,Arkansas
11,15,2019,, Found dead at side of the road in a residential area.,"Jonesboro, Craighead Co., Arkansas",35.787603,-90.765035,69,Craighead,Arkansas
3,2,2011,2011-03-02 20:00:00 UTC,Flushed twice.,"1905 Madison 1305, Huntsville, AR 72740, USA",36.256761,-93.703976,197,Madison,Arkansas
11,23,2018,2018-11-23 15:22:00 UTC,"Rechoncha, pico largo, amarillenta por abajo, rojiza por arriba. Oculta entre la hojarasca, solo se movió hasta que la tuvimos enfrente.",25.3562 -100.928552,25.3562,-100.928552,,,Coahuila
1,16,2015,,,"40.4793042,-105.2262032",40.479304,-105.226203,13665,Larimer,Colorado
1,28,2017,2017-01-28 15:02:25 UTC,This super rare vagrant to Colorado has been spent 3 winters along a small riparian zone in the foothills. There have been two present. ,"Bobcat Ridge Natural Area, Larimer County, Colordo, USA",40.481342,-105.224803,,Larimer,Colorado
2,9,2014,2014-02-09 21:13:00 UTC,,"Fountain Valley, Fountain, CO, USA",38.71788905,-104.7242171,4,El Paso,Colorado
1,18,2016,2016-01-18 21:21:00 UTC,American Woodcock forging ,"Larimer County, CO, USA",40.48131317,-105.2246782,8,Larimer,Colorado
2,25,2018,2018-02-25 20:47:49 UTC,Bobcat Ridge,"80512, Bellvue, CO, US",40.667143,-105.4789818,8450,Larimer,Colorado
1,19,2015,2015-01-19 16:22:00 UTC,,"Larimer County, CO, USA",40.48118333,-105.2246472,,Larimer,Colorado
3,17,2010,2010-03-18 00:50:28 UTC,,uconn forest,41.824568,-72.238594,,Tolland,Connecticut
6,4,2016,2016-06-04 08:49:41 UTC,,"North Atlantic Ocean, , , ",41.7101657,-72.642468,5,Hartford,Connecticut
3,4,2017,2017-03-05 01:21:00 UTC,"FOY; crossing road, then pumping and feeding in wet ditch","Norfolk, CT, USA",42.02828079,-73.14866012,186,Litchfield,Connecticut
3,13,2015,2015-03-13 16:03:00 UTC,Poor quality photo.  Woodcock is near the center,"Greenwich, CT, USA",41.09828056,-73.68672222,,Fairfield,Connecticut
6,26,2017,2017-06-26 19:00:37 UTC,,"06057, New Hartford, CT, US",41.82716921,-73.04846228,5,Litchfield,Connecticut
3,19,2017,2017-03-19 17:09:23 UTC,"On driveway, up against garage door.","6 Clifdon Dr, Simsbury, CT 06070, USA",41.90464322,-72.81907465,10,Hartford,Connecticut
3,10,2018,2018-03-10 19:26:04 UTC,I was very surprised to find this in a strip mall. Perhaps it flew into the glass door. Unfortunate.,"556 Boston Post Rd, Orange, CT, US",41.251095,-73.0190055,16,New Haven,Connecticut
4,13,2018,2018-04-14 02:22:00 UTC,You can also hear Song Sparrow and American Robin (Separate entries will be made for them),"Cohen Meadows, Colchester",41.54558904,-72.2845459,977,New London,Connecticut
6,3,2018,2018-06-03 14:21:54 UTC,Young of the year. Found dead next to rural road. Will become a study skin in the Yale Peabody Museum bird collection.,"522 Route 148, Killingworth, CT, US",41.40129667,-72.60596333,5,Middlesex,Connecticut
5,28,2016,2016-05-28 16:37:08 UTC,,"06759, Litchfield, CT, US",41.72953,-73.19837,0,Litchfield,Connecticut
11,19,2018,2018-11-19 15:54:44 UTC,Found (deceased)at the drive-thru of our local Dunkin Donuts. ,"294 Windsorville Rd, Ellington, CT 06029, USA",41.86718768,-72.49237519,66,Tolland,Connecticut
3,26,2019,2019-03-26 09:53:13 UTC,This poor soul.   ,"7 Tremont St, Greenwich, CT 06807, USA",41.04117584,-73.60071564,,Fairfield,Connecticut
4,11,2019,2019-04-11 16:43:38 UTC,"I accidentally flushed the mother...gorgeous little nest, left quickly to avoid disturbing her further. ","Litchfield County, US-CT, Appalachian National Scenic Trail, US",41.80223333,-73.40066667,32,Litchfield,Connecticut
5,24,2019,2019-05-25 01:25:09 UTC,,"Connecticut, US",41.84719535,-72.27973004,5,Tolland,Connecticut
6,4,2019,2019-06-04 14:40:04 UTC,,"Pomfret, CT, USA",41.85703732,-71.98251155,12,Windham,Connecticut
4,30,2015,2015-04-30 13:07:35 UTC,Photo from Laurie Doss,"176–198 Dugan Rd, Cornwall Bridge, CT, US",41.77804625,-73.39264261,44,Litchfield,Connecticut
6,20,2016,2016-06-20 13:28:01 UTC,Photo from Laurie Doss ,"177–199 Dugan Rd, Cornwall Bridge, CT, US",41.77861667,-73.39353,,Litchfield,Connecticut
7,20,2019,2019-07-20 20:55:37 UTC,"Was right in the middle of the road near some fields,  before moving off to the roadside. Wish I was able to get a better picture...","Roxbury, CT 06783, USA",41.54813718,-73.31591696,263,Litchfield,Connecticut
10,29,2019,2019-10-29 12:42:20 UTC,"Bird
","Main St and Pratt St, Hartford, CT 06103, USA",41.7678719,-72.6731914,19,Hartford,Connecticut
10,29,2019,2019-10-29 12:42:53 UTC,"Bird
","Main St and Pratt St, Hartford, CT 06103, USA",41.76801441,-72.6729114,12,Hartford,Connecticut
10,29,2019,2019-10-29 12:44:51 UTC,Bird,"Hartford, CT 06103, USA",41.76762475,-72.67307755,10,Hartford,Connecticut
11,8,2019,2019-11-08 22:43:25 UTC,"Recently deceased, presumably due to impact with window of Bank of America building.","Church Street – Court Street pedestrian walkway, Bank of America building, New Haven, CT, US",41.3066692,-72.92429756,42,New Haven,Connecticut
3,12,2020,2020-03-13 02:19:00 UTC,This roughly robin-sized bird with a beak about two inches long was scurrying about in the leaf litter.  It repeatedly moved its body backward and forward while keeping its feet in place.,"West Hartford, CT, USA",41.76431,-72.789413,10,Hartford,Connecticut
4,18,2020,2020-04-18 18:20:34 UTC,,"Glastonbury, CT, US",41.68931549,-72.47941625,65,Hartford,Connecticut
3,19,2020,2020-03-19 23:37:46 UTC,,"Audubon Center Of Greenwich (Nat Audubon Society), Greenwich, CT, US",41.0976305,-73.68865833,,Fairfield,Connecticut
6,24,2020,2020-06-24 19:02:22 UTC,,"Long View Dr, Simsbury, CT, US",41.85547312,-72.83934834,10,Hartford,Connecticut
3,10,2020,2020-03-10 18:16:00 UTC,,"Alexion Building, New Haven",41.30378992,-72.93143815,1,New Haven,Connecticut
3,21,2020,2020-03-21 13:01:00 UTC,One of three dead birds found thismorning,"CT Financial Center, New Haven, CT",41.30671096,-72.92412623,4,New Haven,Connecticut
10,13,2020,2020-10-13 15:58:33 UTC,"Found on plaza behind CT financial center, missing head ... presumably due to peregrine falcons?","Orange St, New Haven, CT, US",41.3067222,-72.92398289,75,New Haven,Connecticut
9,6,2020,2020-09-06 21:05:29 UTC,,"Barley Mill Rd, Hockessin, DE, US",39.79742689,-75.6605448,81,New Castle,Delaware
3,15,2014,,,"Washington DC, USA",38.902122,-77.029406,103,District of Columbia,District of Columbia
12,6,2016,2016-12-06 14:40:57 UTC,,"186–298 I St SE, Washington, DC, US",38.879345,-77.00282222,,District of Columbia,District of Columbia
3,25,2017,2017-03-25 15:07:12 UTC,,"1000–1098 I St NW, Washington, DC, US",38.90077,-77.0267805,,District of Columbia,District of Columbia
3,28,2013,2013-03-28 16:35:00 UTC,,"Northeast Washington, Washington, DC, USA",38.89605142,-77.0013231,15,District of Columbia,District of Columbia
2,18,2018,2018-02-18 14:45:47 UTC,,"916 5th St NW, Washington, DC, US",38.9017,-77.0189445,30,District of Columbia,District of Columbia
